idklub,imeklub,arenaklub,savdrzava,godosnutka,imeigrac,prezimeigrac,brojdresa,pozicijaigrac,uni_hs_club,imetrener,prezimetrener
1,New York Knicks,Madison Square Garden,New York,1946,Derrick,Rose,4,PG,Memphis,Tom,Thibodeau
1,New York Knicks,Madison Square Garden,New York,1946,Julius,Randle,30,PF,Kentucky,Tom,Thibodeau
1,New York Knicks,Madison Square Garden,New York,1946,Taj,Gibson,67,PF,USC,Tom,Thibodeau
2,Golden State Warriors,Chase Center,California,1946,Stephen,Curry,30,PG,Davidson,Steve,Kerr
2,Golden State Warriors,Chase Center,California,1946,Draymond,Green,23,PF,Michigan State,Steve,Kerr
2,Golden State Warriors,Chase Center,California,1946,Klay,Thompson,11,SG,Washington State,Steve,Kerr
3,Milwaukee Bucks,Fiserv Forum,Wisconsin,1968,Jrue,Holiday,21,PG,UCLA,Mike,Budenholzer
3,Milwaukee Bucks,Fiserv Forum,Wisconsin,1968,Giannis,Antetokuonmpo,34,PF,Filathlitikos,Mike,Budenholzer
3,Milwaukee Bucks,Fiserv Forum,Wisconsin,1968,Khris,Middleton,22,SF,Texas A&M,Mike,Budenholzer
4,Chicago Bulls,United Center,Illinois,1966,Zach,LaVine,8,SG,UCLA,Billy,Donovan
4,Chicago Bulls,United Center,Illinois,1966,Nikola,Vucevic,9,C,USC,Billy,Donovan
4,Chicago Bulls,United Center,Illinois,1966,Alex,Caruso,6,PG,Texas A&M,Billy,Donovan
5,Charlotte Hornets,Spectrum Center,North Carolina,1988,LaMelo,Ball,2,PG,Illawarra Hawks,James,Borrego
5,Charlotte Hornets,Spectrum Center,North Carolina,1988,Gordon,Hayward,20,SF,Butler,James,Borrego
5,Charlotte Hornets,Spectrum Center,North Carolina,1988,Miles,Bridges,0,SF,Michigan State,James,Borrego
6,New Orleans Pelicans,Smoothie King Center,Lousiana,1988,Zion,Williamson,1,PF,Duke,Willie,Green
6,New Orleans Pelicans,Smoothie King Center,Lousiana,1988,Josh,Hart,3,SG,Villanova,Willie,Green
6,New Orleans Pelicans,Smoothie King Center,Lousiana,1988,Brandon,Ingram,14,SF,Duke,Willie,Green
7,LA Lakers,Staples Center,California,1947,Dwight,Howard,39,C,Southwest Atlanta Christian Academy,Frank,Vogel
7,LA Lakers,Staples Center,California,1947,LeBron,James,6,SF,St. Vincent–St. Mary,Frank,Vogel
7,LA Lakers,Staples Center,California,1947,Anthony,Davis,3,PF,Kentucky,Frank,Vogel
8,Brooklyn Nets,Barclays Center,New York,1967,James,Harden,13,SG,Arizona State,Steve,Nash
8,Brooklyn Nets,Barclays Center,New York,1967,Kevin,Durant,7,SF,Texas,Steve,Nash
8,Brooklyn Nets,Barclays Center,New York,1967,Kyrie,Irving,11,PG,Duke,Steve,Nash
9,Boston Celtics,TD Garden,Massachusetts,1946,Jayson,Tatum,0,SF,Duke,Ime,Udoka
9,Boston Celtics,TD Garden,Massachusetts,1946,Jaylen,Brown,7,SG,California,Ime,Udoka
9,Boston Celtics,TD Garden,Massachusetts,1946,Marcus,Smart,36,PG,Oklahoma State,Ime,Udoka
10,Phoenix Suns,Footprint Center,Arizona,1968,Chris,Paul,3,PG,Wake Forest,Monty,Williams
10,Phoenix Suns,Footprint Center,Arizona,1968,Dario,Saric,20,PF,Anadolu Efes,Monty,Williams
10,Phoenix Suns,Footprint Center,Arizona,1968,Devin,Booker,1,SG,Kentucky,Monty,Williams
11,Dallas Mavericks,American Airlines Center,Texas,1980,Kristaps,Porzingis,6,PF,Sevilla,Jason,Kidd
11,Dallas Mavericks,American Airlines Center,Texas,1980,Boban,Marjanovic,51,C,Crvena Zvezda,Jason,Kidd
11,Dallas Mavericks,American Airlines Center,Texas,1980,Luka,Doncic,77,PG,Real Madrid,Jason,Kidd
12,Denver Nuggets,Ball Arena,Colorado,1967,Nikola,Jokic,15,C,Mega Basket,Michael,Malone
12,Denver Nuggets,Ball Arena,Colorado,1967,Michael,Porter Jr.,1,SF,Missouri,Michael,Malone
12,Denver Nuggets,Ball Arena,Colorado,1967,Jamal,Murray,27,PG,Kentucky,Michael,Malone
13,Atlanta Hawks,State Farm Arena,Georgia,1946,Trae,Young,11,PG,Oklahoma,Nate,McMillan
13,Atlanta Hawks,State Farm Arena,Georgia,1946,Kevin,Huerter,3,SG,Maryland,Nate,McMillan
13,Atlanta Hawks,State Farm Arena,Georgia,1946,John,Collins,20,PF,Wake Forest,Nate,McMillan
14,Philadelphia 76ers,Wells Fargo Center,Pennsylvania,1946,Ben,Simmons,25,PG,LSU,Doc,Rivers
14,Philadelphia 76ers,Wells Fargo Center,Pennsylvania,1946,Joel,Embiid,21,C,Kansas,Doc,Rivers
14,Philadelphia 76ers,Wells Fargo Center,Pennsylvania,1946,Tobias,Harris,12,SF,Tennessee,Doc,Rivers
15,Portland Trailblazers,Moda Center,Oregon,1970,Jusuf,Nurkic,27,C,Cedevita,Chauncey,Billups
15,Portland Trailblazers,Moda Center,Oregon,1970,Damian,Lillard,0,PG,Weber State,Chauncey,Billups
15,Portland Trailblazers,Moda Center,Oregon,1970,CJ,McCollum,3,SG,Lehigh,Chauncey,Billups
